,T_max,T_min,t_p,t_start,t_ramp,setback,const_temp,sim_id,file_name
0,20.5,15.5,-1.0,4.983333333333333,0.0,True,-1.0,0,../idf/gas_0.idf
0,21.0,15.5,-2.5,3.4833333333333334,0.25,True,-1.0,1,../idf/gas_1.idf
0,21.5,16.5,0.0,5.983333333333333,0.0,True,-1.0,2,../idf/gas_2.idf
0,21.0,15.5,-0.25,5.733333333333333,0.0,True,-1.0,3,../idf/gas_3.idf
0,21.0,15.5,-1.0,4.983333333333333,0.0,True,-1.0,4,../idf/gas_4.idf
0,22.0,16.0,-0.5,5.483333333333333,0.75,True,-1.0,5,../idf/gas_5.idf
0,21.5,15.5,0.0,5.983333333333333,0.0,True,-1.0,6,../idf/gas_6.idf
0,21.0,16.0,0.0,5.983333333333333,0.0,True,-1.0,7,../idf/gas_7.idf
0,-1.0,-1.0,-1.0,-1.0,-1.0,False,21.5946294279094,8,../idf/gas_8.idf
0,-1.0,-1.0,-1.0,-1.0,-1.0,False,20.737425445612857,9,../idf/gas_9.idf
