,Month:,Median y1 (modified),Median y1 (baseline),Median y2 (modified),Median y2 (baseline),Median y3 (modified),Median y3 (baseline),Delta y1,Delta y2,Delta y3
0,January,294.1794649501762,329.9915426860732,26.09211964953457,17.785288604892177,8.236296393626281,6.224179789521716,-0.10852422896778799,0.4670619200611366,2.0121166041045653
1,February,357.99776046641,403.69489768122185,31.83537034989181,22.304778489479947,10.106849055125751,7.558366627242164,-0.11319721273984652,0.4272892405054356,2.548482427883587
2,March,271.0766275914105,304.2475743679111,25.596089212625493,17.915737801176824,6.132733464915107,5.30109611499781,-0.10902616675059724,0.42869300146512374,0.8316373499172975
3,April,225.19330106485774,242.1740698557177,14.242687598486974,13.71790951694984,4.8782325422699335,4.913469718020666,-0.07011803039432239,0.03825496012265706,-0.0352371757507326
4,November,258.0226655149694,291.25521180805794,20.507105645985973,15.679466429488395,5.674697766612719,5.089290354168832,-0.11410112144186917,0.3078956314111704,0.585407412443887
5,December,276.3357576465593,305.1679148927417,23.75122307973428,16.801577728529384,7.711910589860071,5.770055263841031,-0.09447964821700258,0.4136305211030433,1.9418553260190397
